,운전 누적 시간,현재 상태,1-수소공급량,2-수소공급량,1-산소공급량,2-산소공급량,1-버너회전수,2-버너회전수,1-버너속도,2-버너속도,1-핀치횟수,2-핀치횟수,핀치두께-상,핀치두께-중,핀치두께-하,핀치두께2-상,핀치두께2-중,핀치두께2-하,전극간격,채널,전압(1차),전류(1차),역률(1차),전력(1차),온도(1차),전압(2차),전류(2차),역률(2차),전력(2차),온도(2차),강도,"Pinch No.1
정면부 측정 편차","Pinch No.2
정면부 측정 편차","Pinch No.1
측면부 측정 편차","Pinch No.2
측면부 측정 편차"
35,71545,0,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3750.438,3754.4249999999997,4.797689999999999,4.598339999999999,4.7844,4.55847,4.5186,4.6249199999999995,443.72652,3.0,520.19718,46.43525999999999,131.95641,31.07202,15.948,642.06648,11.336369999999999,131.95641,4.824269999999999,132.9,449.202,0.0,0.0,0.0,0.0
36,26631,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3751.767,3755.754,4.797689999999999,4.571759999999999,4.81098,4.545179999999999,4.49202,4.6249199999999995,444.74985,4.0,520.19718,46.43525999999999,131.95641,31.07202,15.948,640.80393,11.549009999999999,132.34181999999998,4.9173,132.9,526.284,0.0,0.0,0.0,0.0
37,22242,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3753.096,3757.083,4.771109999999999,4.58505,4.797689999999999,4.43886,4.3857,4.5186,444.81629999999996,5.0,520.19718,46.43525999999999,131.95641,31.07202,15.948,644.51184,11.376240000000001,132.55445999999998,4.89072,132.9,551.535,0.0,0.0,0.0,0.0
38,22242,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,3754.4249999999997,3758.412,4.67808,4.5186,4.67808,4.6514999999999995,4.545179999999999,4.67808,444.82958999999994,6.0,520.19718,46.43525999999999,131.95641,31.07202,15.948,645.3624,11.40282,132.56775,4.9040099999999995,132.9,505.02,0.0,0.0,0.0,0.0
39,40705,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,18.605999999999998,18.605999999999998,4.797689999999999,4.63821,4.797689999999999,4.66479,4.50531,4.73124,446.14529999999996,1.0,512.1966,46.99344,131.98299,31.01886,14.619,644.6846099999999,11.32308,132.6342,4.89072,132.9,499.704,0.0,0.0,0.0,0.0
40,62511,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,19.935,19.935,4.75782,4.6249199999999995,4.797689999999999,4.571759999999999,4.47873,4.61163,445.46751,2.0,512.1966,46.99344,131.98299,31.01886,14.619,649.93416,11.17689,132.5013,4.850849999999999,132.9,478.44,0.0,0.0,0.0,0.0
41,67461,0,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,26.58,26.58,4.83756,4.67808,4.8774299999999995,4.45215,4.3857,4.50531,445.08209999999997,5.0,512.1966,46.99344,131.98299,31.01886,14.619,646.71798,11.442689999999999,132.51459,4.9040099999999995,132.9,560.838,0.0,0.0,0.0,0.0
42,18488,1,98.346,99.675,79.74,90.372,25.250999999999998,22.593,53.16,53.16,27.909,27.909,4.67808,4.55847,4.691369999999999,4.63821,4.45215,4.691369999999999,445.05552,6.0,512.1966,46.99344,131.98299,31.01886,14.619,623.5668,11.482560000000001,132.52787999999998,4.744529999999999,132.9,530.271,0.0,0.0,0.0,0.0
43,18462,1,103.66199999999999,97.017,98.346,102.333,25.250999999999998,23.922,53.16,53.16,891.759,891.759,4.58505,4.63821,4.63821,4.41228,4.46544,4.43886,445.29474,1.0,504.42195,34.460969999999996,122.29458,20.758979999999998,15.948,645.7610999999999,11.243340000000002,132.78038999999998,4.8774299999999995,112.965,441.228,0.0,0.0,0.0,0.0
44,31765,1,103.66199999999999,97.017,98.346,102.333,25.250999999999998,23.922,53.16,53.16,894.4169999999999,894.4169999999999,4.55847,4.61163,4.598339999999999,4.5186,4.50531,4.545179999999999,446.39781,2.0,504.42195,34.460969999999996,122.29458,20.758979999999998,15.948,651.80805,11.08386,132.67407,4.850849999999999,112.965,364.146,0.0,0.0,0.0,0.0
